Vernier Format 2
1.txt 5/5/2018 10:31:59
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%
0.0 19.89
145.92	19.77
145.98	19.77
146.1	19.76
146.22	19.77
146.28	19.77
146.4	19.78
146.52	19.78
146.58	19.78
146.7	19.77
146.82	19.77
146.88	19.78
147.0	19.78
147.12	19.77
147.18	19.78
147.3	19.78
147.42	19.78
147.48	19.77
147.6	19.78
147.72	19.78
147.78	19.78
147.9	19.78
148.02	19.78
148.08	19.78
148.2	19.78
148.32	19.78
148.38	19.78
148.5	19.78
148.62	19.78
148.68	19.78
148.8	19.78
148.92	19.78
148.98	19.78
149.1	19.78
149.22	19.78
149.28	19.78
149.4	19.78
149.52	19.78
149.58	19.77
149.7	19.78
149.82	19.78
149.88	19.78
150.0	19.78
150.12	19.78
150.18	19.78
150.3	19.78
150.42	19.78
150.48	19.78
150.6	19.78
150.72	19.78
150.78	19.78
150.9	19.78
151.02	19.78
151.08	19.78
151.2	19.78
151.32	19.78
151.38	19.78
151.5	19.78
151.62	19.78
151.68	19.78
151.8	19.78
151.92	19.78
151.98	19.78
152.1	19.78
152.22	19.78
152.28	19.78
152.4	19.78
152.52	19.78
152.58	19.78
152.7	19.78
152.82	19.78
152.88	19.78
153.0	19.78
153.12	19.78
153.18	19.78
153.3	19.78
153.42	19.78
153.48	19.78
153.6	19.78
153.72	19.79
153.78	19.78
153.9	19.78
154.02	19.79
154.08	19.78
154.2	19.78
154.32	19.78
154.38	19.78
154.5	19.79
154.62	19.79
154.68	19.79
154.8	19.79
154.92	19.78
154.98	19.79
155.1	19.79
155.22	19.79
155.28	19.79
155.4	19.79
155.52	19.80
155.58	19.79
155.7	19.79
155.82	19.79
155.88	19.79
156.0	19.79
156.12	19.80
156.18	19.79
156.3	19.80
156.42	19.79
156.48	19.80
156.6	19.80
156.72	19.79
156.78	19.79
156.9	19.80
157.02	19.79
157.08	19.80
157.2	19.79
157.32	19.79
157.38	19.79
157.5	19.79
157.62	19.79
157.68	19.79
157.8	19.79
157.92	19.79
157.98	19.79
158.1	19.79
158.22	19.79
158.28	19.79
158.4	19.79
158.52	19.79
158.58	19.79
158.7	19.78
158.82	19.78
158.88	19.78
159.0	19.78
159.12	19.78
159.18	19.78
159.3	19.78
159.42	19.78
159.48	19.78
159.6	19.78
159.72	19.78
159.78	19.77
159.9	19.78
160.02	19.78
160.08	19.78
160.2	19.78
160.32	19.77
160.38	19.78
160.5	19.77
160.62	19.78
160.68	19.78
160.8	19.78
160.92	19.78
160.98	19.78
161.1	19.77
161.22	19.78
161.28	19.76
161.4	19.77
161.52	19.77
161.58	19.78
161.7	19.77
161.82	19.78
161.88	19.78
162.0	19.77
162.12	19.78
162.18	19.78
162.3	19.78
162.42	19.78
162.48	19.78
162.6	19.78
162.72	19.78
162.78	19.78
162.9	19.77
163.02	19.77
163.08	19.77
163.2	19.76
163.32	19.77
163.38	19.77
163.5	19.78
163.62	19.77
163.68	19.77
163.8	19.78
163.92	19.77
163.98	19.78
164.1	19.77
164.22	19.77
164.28	19.78
164.4	19.78
164.52	19.78
164.58	19.78
164.7	19.78
164.82	19.78
164.88	19.78
165.0	19.78
165.12	19.78
165.18	19.78
165.3	19.78
165.42	19.78
165.48	19.77
165.6	19.78
165.72	19.78
165.78	19.78
